importer,product,opportunity_label
24,101,Low
24,102,Low
24,103,Low
24,104,Low
24,105,Low
24,106,Low
24,201,Low
24,202,Low
24,203,Low
24,204,Low
24,205,Low
24,206,Low
24,207,Low
24,208,Low
24,209,Low
24,210,Low
24,301,Low
24,307,Low
24,308,Low
24,401,Low
24,402,Low
24,403,Medium
24,404,Low
24,405,Low
24,406,Low
24,407,Low
24,408,Low
24,409,Low
24,410,Medium
24,501,Low
24,502,Low
24,504,Low
24,505,Low
24,506,Low
24,507,Low
24,508,Low
24,510,Low
24,511,Low
24,601,Low
24,602,Low
24,603,Low
24,604,Low
24,701,Low
24,702,Low
24,703,Low
24,704,Low
24,705,Low
24,706,Low
24,707,Low
24,708,Low
24,709,Low
24,710,Low
24,711,Low
24,712,Low
24,713,Low
24,714,Low
24,804,Low
24,901,Low
24,902,Low
24,903,Low
24,904,Low
24,905,Low
24,906,Low
24,907,Low
24,908,Low
24,909,Low
24,910,Low
24,1001,Low
24,1002,Low
24,1003,Low
24,1004,Low
24,1005,Low
24,1006,Low
24,1007,Low
24,1008,Low
24,1101,Low
24,1103,Low
24,1212,Low
24,1301,Low
24,1302,Low
24,1401,Low
24,1404,Low
24,1501,Low
24,1502,Low
24,1503,Low
24,1504,Low
24,1505,Low
24,1506,Low
24,1507,Low
24,1508,Low
24,1509,Low
24,1510,Low
24,1511,Low
24,1512,Low
24,1513,Low
24,1514,Low
24,1515,Low
24,1516,Low
24,1517,Low
24,1518,Low
24,1520,Low
24,1521,Low
24,1522,Low
24,1601,Low
24,1602,Low
24,1603,Low
24,1604,Low
24,1605,Low
24,1701,Low
24,1703,Low
24,1801,Low
24,1802,Low
24,1803,Low
24,1804,Low
24,1805,Low
24,1806,Low
24,1901,Medium
24,1902,Medium
24,1903,Medium
24,1904,Low
24,1905,Medium
24,2009,Low
24,2101,Medium
24,2102,Medium
24,2103,Medium
24,2104,Medium
24,2105,Medium
24,2106,Medium
24,2201,Low
24,2202,Medium
24,2203,Low
24,2204,Low
24,2205,Low
24,2206,Low
24,2207,Low
24,2208,Low
24,2209,Low
24,2301,Low
24,2302,Low
24,2303,Low
24,2304,Low
24,2305,Low
24,2306,Low
24,2307,Low
24,2308,Low
24,2309,Low
24,2401,Low
24,2402,Low
24,2403,Low
24,2510,Low
24,2520,Low
24,2523,Low
24,2618,Low
24,2619,Low
24,2707,Low
24,2709,Low
24,2710,Low
24,2711,Low
24,2716,Low
24,2804,Low
24,2814,Low
24,2828,Low
24,2905,Low
24,3001,Medium
24,3002,Medium
24,3003,Low
24,3004,Medium
24,3005,Medium
24,3006,Medium
24,3101,Low
24,3102,Low
24,3201,Low
24,3202,Low
24,3203,Low
24,3204,Low
24,3205,Low
24,3206,Low
24,3207,Low
24,3208,Low
24,3209,Low
24,3210,Low
24,3211,Medium
24,3212,Low
24,3213,Low
24,3214,Medium
24,3215,Low
24,3301,Medium
24,3302,Medium
24,3303,Medium
24,3304,Medium
24,3305,Medium
24,3306,Medium
24,3307,Medium
24,3401,Low
