year,sector,total_value,algeria_export_v,total_qty,importers,products,demand_gap
2012,Agriculture & Food,1284593145.519,246997.549,1882410348.4680002,97,197,1284346147.97
2012,Arms & Ammunition,10082960.273,327.189,253806.511,97,7,10082633.084
2012,Arts & Antiques,20601831.528,203.629,85011.011,97,6,20601627.899
2012,Chemicals,1443402192.284,751723.8030000001,623818263.668,97,179,1442650468.481
2012,Energy & Hydrocarbons,2871097925.88,72489489.959,4559316788.298,97,16,2798608435.921
2012,Footwear & Headgear,129436470.516,221.619,7158286.9860000005,97,19,129436248.897
2012,Furniture & Misc,327427752.406,2891.107,52284032.761,97,31,327424861.299
2012,Instruments & Optics,530324138.384,9640.222,8049603.3,97,53,530314498.162
2012,Machinery & Equipment,3919027370.612,86603.913,220738912.404,97,132,3918940766.699
2012,Metals & Metal Products,1164050195.503,85543.251,669357870.676,97,148,1163964652.252
2012,Minerals & Raw Materials,267629006.24699998,273892.72000000003,1956262916.8520002,97,50,267355113.52699998
2012,Plastics & Rubber,700647211.677,16568.274,234615924.222,97,43,700630643.403
2012,Precious Metals & Gems,640893591.265,9453.991,645275.113,97,18,640884137.274
2012,"Stone, Glass & Ceramics",141037244.566,30794.409,147410347.587,97,48,141006450.157
2012,Textiles & Clothing,650504745.299,1335.136,73737567.857,97,152,650503410.163
2012,Transport,1612541141.754,12021.922,155350932.812,97,38,1612529119.832
2012,"Wood, Paper & Leather",461366934.997,52729.888,527006372.20600003,97,87,461314205.109
2013,Agriculture & Food,1382131900.317,326571.914,1861549208.04,97,197,1381805328.403
2013,Arms & Ammunition,10195123.718,2515.2110000000002,276305.056,97,7,10192608.507
2013,Arts & Antiques,21568208.408999998,152.149,122141.52100000001,97,6,21568056.26
2013,Chemicals,1484984112.899,530221.11,657272354.703,97,179,1484453891.789
2013,Energy & Hydrocarbons,2924127271.311,68952627.381,4837296559.339,97,16,2855174643.93
2013,Footwear & Headgear,136653910.157,20.305,7279067.972,97,19,136653889.852
2013,Furniture & Misc,338557875.53,3170.716,52178223.06,97,31,338554704.814
2013,Instruments & Optics,546156106.585,4970.157,7113459.607,97,53,546151136.428
2013,Machinery & Equipment,3953856992.836,79401.12,169684744.927,97,132,3953777591.716
2013,Metals & Metal Products,1148530283.126,50637.757,665976421.682,97,148,1148479645.369
2013,Minerals & Raw Materials,280362520.789,171557.612,2184274414.574,97,50,280190963.177
2013,Plastics & Rubber,725685812.404,17452.744,241535562.888,97,43,725668359.66
2013,Precious Metals & Gems,683805091.997,10945.358999999999,674941.368,97,18,683794146.638
2013,"Stone, Glass & Ceramics",147127207.102,35161.294,153479738.697,97,48,147092045.808
2013,Textiles & Clothing,677086753.625,1386.093,75731997.641,97,152,677085367.532
2013,Transport,1666467698.384,10411.651,158311882.198,97,38,1666457286.733
2013,"Wood, Paper & Leather",484721897.355,58912.584,554342874.263,97,87,484662984.771
2014,Agriculture & Food,1429762783.923,288933.494,1437371286.438,97,197,1429473850.429
2014,Arms & Ammunition,10536624.841,0.0,301126.699,97,7,10536624.841
2014,Arts & Antiques,22141224.793,505.0,112542.593,97,6,22140719.793
2014,Chemicals,1522978153.814,1282742.518,680556530.077,97,179,1521695411.296
2014,Energy & Hydrocarbons,2747780678.224,61076602.083,4749794527.035,97,16,2686704076.1410003
2014,Footwear & Headgear,145343154.274,678.21,7425811.99,97,19,145342476.064
2014,Furniture & Misc,361218066.719,2315.86,52357384.43,97,31,361215750.859
2014,Instruments & Optics,549892992.5929999,4446.002,10217499.31,97,53,549888546.591
2014,Machinery & Equipment,4092223270.512,63528.956,274297329.871,97,132,4092159741.556
2014,Metals & Metal Products,1191076352.901,35743.883,707049367.267,97,148,1191040609.018
2014,Minerals & Raw Materials,262403030.094,173994.455,2286685890.4300003,97,50,262229035.639
2014,Plastics & Rubber,744743539.5,7167.741,251418511.20700002,97,43,744736371.7590001
2014,Precious Metals & Gems,606996443.974,4656.2970000000005,1442582.0110000002,97,18,606991787.677
2014,"Stone, Glass & Ceramics",157341489.725,28246.504,161731098.819,97,48,157313243.22100002
2014,Textiles & Clothing,696777880.374,3286.243,76632907.209,97,152,696774594.131
2014,Transport,1733128619.078,16693.627,148415570.515,97,38,1733111925.451
2014,"Wood, Paper & Leather",500398619.5,62048.165,566544545.582,97,87,500336571.335
2015,Agriculture & Food,1308427294.335,221508.698,1449263715.351,97,197,1308205785.637
2015,Arms & Ammunition,10904432.017,2747.991,303863.199,97,7,10901684.026
2015,Arts & Antiques,22796698.707000002,485.89000000000004,78628.973,97,6,22796212.817
2015,Chemicals,1398899514.496,1380554.058,692810408.758,97,179,1397518960.438
2015,Energy & Hydrocarbons,1690070823.782,36423189.751,4769717130.071,97,16,1653647634.0310001
2015,Footwear & Headgear,141495344.834,143.042,7217115.8,97,19,141495201.792
