year,sector,continent,total_value,algeria_export_v,demand_gap
2012,Agriculture & Food,Africa,37004105.695,15361.383,36988744.312
2012,Agriculture & Food,America,234410580.752,6988.339,234403592.413
2012,Agriculture & Food,Asia,430345311.335,122223.564,430223087.771
2012,Agriculture & Food,Europe,564633672.802,100262.897,564533409.905
2012,Agriculture & Food,Pacific,16730280.488,132.35,16730148.138
2012,Agriculture & Food,Unknown,1469194.447,2029.016,1467165.431
2012,Arms & Ammunition,Africa,199579.627,0.0,199579.627
2012,Arms & Ammunition,America,3786110.782,0.0,3786110.782
2012,Arms & Ammunition,Asia,2870841.361,0.0,2870841.361
2012,Arms & Ammunition,Europe,2785376.345,327.189,2785049.156
2012,Arms & Ammunition,Pacific,436319.724,0.0,436319.724
2012,Arms & Ammunition,Unknown,4732.434,0.0,4732.434
2012,Arts & Antiques,Africa,43251.197,0.0,43251.197
2012,Arts & Antiques,America,7393361.483,101.443,7393260.040000001
2012,Arts & Antiques,Asia,2569734.193,91.428,2569642.765
2012,Arts & Antiques,Europe,10444179.009,10.758,10444168.251
2012,Arts & Antiques,Pacific,150548.384,0.0,150548.384
2012,Arts & Antiques,Unknown,757.2620000000001,0.0,757.2620000000001
2012,Chemicals,Africa,17257500.419,51780.628,17205719.791
2012,Chemicals,America,324673853.392,352.915,324673500.477
2012,Chemicals,Asia,403454674.1,4955.838,403449718.262
2012,Chemicals,Europe,670687581.96,694616.4990000001,669992965.461
2012,Chemicals,Pacific,25005741.314,0.0,25005741.314
2012,Chemicals,Unknown,2322841.099,17.923,2322823.176
2012,Energy & Hydrocarbons,Africa,31257843.911,3596367.767,27661476.144
2012,Energy & Hydrocarbons,America,616026853.044,19738044.919999998,596288808.124
2012,Energy & Hydrocarbons,Asia,1113512038.038,5223323.339,1108288714.6990001
2012,Energy & Hydrocarbons,Europe,1067606156.652,43898959.351,1023707197.301
2012,Energy & Hydrocarbons,Pacific,39389579.54000001,32794.582,39356784.958000004
2012,Energy & Hydrocarbons,Unknown,3305454.695,0.0,3305454.695
2012,Footwear & Headgear,Africa,2220508.078,0.0,2220508.078
2012,Footwear & Headgear,America,39961213.449,1.2510000000000001,39961212.198
2012,Footwear & Headgear,Asia,29353699.682,13.885,29353685.797
2012,Footwear & Headgear,Europe,55650698.629,206.483,55650492.146
2012,Footwear & Headgear,Pacific,2083385.3530000001,0.0,2083385.3530000001
