importer,product,year,forecast_algeria_export_v,lower_bound,upper_bound
380,2711,2025,11017998.41,3625673.52,18410323.29
380,2711,2026,11585912.68,3970653.7,19201171.65
380,2711,2027,12153826.94,4293549.28,20014104.61
724,2711,2025,2804006.33,350932.33,5257080.32
724,2711,2026,2552669.77,25617.18,5079722.36
724,2711,2027,2301333.22,0.0,4909692.97
251,2709,2025,2515365.25,1415678.63,3615051.86
251,2709,2026,2529458.0,1396607.58,3662308.42
251,2709,2027,2543550.75,1374251.21,3712850.3
842,2710,2025,781854.49,0.0,2081557.52
842,2710,2026,566163.34,0.0,1905062.18
842,2710,2027,350472.19,0.0,1732449.69
251,2711,2025,2378822.35,871134.55,3886510.15
251,2711,2026,2395411.47,842255.56,3948567.38
251,2711,2027,2412000.59,808872.35,4015128.83
826,2709,2025,238455.02,0.0,2120952.52
826,2709,2026,0.0,0.0,1939268.92
826,2709,2027,0.0,0.0,2001664.32
792,2711,2025,91803.48,0.0,1158902.9
792,2711,2026,0.0,0.0,1099280.48
792,2711,2027,0.0,0.0,1134649.5
528,2709,2025,548234.44,0.0,1734486.06
528,2709,2026,419975.73,0.0,1642001.74
528,2709,2027,291717.02,0.0,1553061.35
724,2709,2025,1284811.9,0.0,2815741.11
724,2709,2026,1267020.78,0.0,2844119.0
724,2709,2027,1249229.66,0.0,2877070.55
788,2711,2025,744690.79,0.0,1795945.48
788,2711,2026,650524.75,0.0,1733482.66
788,2711,2027,556358.72,0.0,1674160.48
842,2709,2025,0.0,0.0,2541313.27
842,2709,2026,0.0,0.0,2617952.94
842,2709,2027,0.0,0.0,2702184.8
410,2710,2025,2245085.93,1240946.71,3249225.16
410,2710,2026,2412242.63,1377821.07,3446664.19
410,2710,2027,2579399.33,1511695.56,3647103.09
124,2709,2025,0.0,0.0,3245127.81
124,2709,2026,0.0,0.0,3493739.79
124,2709,2027,0.0,0.0,3747150.82
276,2709,2025,544025.03,0.0,1404643.24
276,2709,2026,488171.54,0.0,1374743.84
276,2709,2027,432318.04,0.0,1347415.54
76,2710,2025,0.0,0.0,638227.04
76,2710,2026,0.0,0.0,657474.38
76,2710,2027,0.0,0.0,678628.42
76,2709,2025,796171.28,159576.84,1432765.72
76,2709,2026,790904.38,135111.84,1446696.92
76,2709,2027,785637.48,108745.0,1462529.95
380,2709,2025,724938.1,219349.64,1230526.56
380,2709,2026,725520.07,204684.32,1246355.82
380,2709,2027,726102.04,188508.56,1263695.53
699,2709,2025,812760.87,88106.35,1537415.38
699,2709,2026,835376.57,88868.28,1581884.85
699,2709,2027,857992.26,87465.29,1628519.23
620,2709,2025,706788.84,146862.44,1266715.23
