importer,product,sector,year,continent,opportunity_label
50,1201,Agriculture & Food,2024,Asia,0
620,6807,"Stone, Glass & Ceramics",2024,Europe,1
804,6904,"Stone, Glass & Ceramics",2024,Europe,0
70,9614,Furniture & Misc,2024,Europe,1
634,9022,Instruments & Optics,2024,Asia,0
112,3802,Chemicals,2024,Europe,0
504,7016,"Stone, Glass & Ceramics",2024,Africa,0
442,9706,Arts & Antiques,2024,Europe,1
504,3919,Plastics & Rubber,2024,Africa,2
702,4413,"Wood, Paper & Leather",2024,Asia,0
340,9017,Instruments & Optics,2024,America,1
410,7313,Metals & Metal Products,2024,Asia,0
404,5202,Textiles & Clothing,2024,Africa,1
784,9109,Instruments & Optics,2024,Asia,1
32,7019,"Stone, Glass & Ceramics",2024,America,0
643,7001,"Stone, Glass & Ceramics",2024,Asia,0
191,5402,Textiles & Clothing,2024,Europe,0
288,3918,Plastics & Rubber,2024,Africa,2
116,5803,Textiles & Clothing,2024,Asia,0
842,8412,Machinery & Equipment,2024,America,2
372,3817,Chemicals,2024,Europe,1
208,7907,Metals & Metal Products,2024,Europe,0
442,8447,Machinery & Equipment,2024,Europe,1
218,709,Agriculture & Food,2024,America,0
404,2912,Chemicals,2024,Africa,0
180,5906,Textiles & Clothing,2024,Africa,1
218,6114,Textiles & Clothing,2024,America,1
410,8902,Transport,2024,Asia,0
348,4413,"Wood, Paper & Leather",2024,Europe,0
616,4401,"Wood, Paper & Leather",2024,Europe,2
398,9303,Arms & Ammunition,2024,Asia,1
124,2917,Chemicals,2024,America,2
616,4822,"Wood, Paper & Leather",2024,Europe,1
620,3907,Plastics & Rubber,2024,Europe,1
40,8467,Machinery & Equipment,2024,Europe,0
422,8308,Metals & Metal Products,2024,Asia,1
484,2616,Minerals & Raw Materials,2024,America,2
380,4107,"Wood, Paper & Leather",2024,Europe,0
586,5002,Textiles & Clothing,2024,Asia,1
104,9010,Instruments & Optics,2024,Asia,0
191,9105,Instruments & Optics,2024,Europe,1
834,8539,Machinery & Equipment,2024,Africa,0
586,2007,Agriculture & Food,2024,Asia,1
31,4704,"Wood, Paper & Leather",2024,Asia,1
784,8448,Machinery & Equipment,2024,Asia,1
724,6116,Textiles & Clothing,2024,Europe,1
804,9005,Instruments & Optics,2024,Europe,1
40,5702,Textiles & Clothing,2024,Europe,0
360,1801,Agriculture & Food,2024,Asia,2
180,2510,Minerals & Raw Materials,2024,Africa,1
699,2846,Chemicals,2024,Asia,0
704,903,Agriculture & Food,2024,Asia,1
233,3904,Plastics & Rubber,2024,Europe,0
440,1504,Agriculture & Food,2024,Europe,1
112,7107,Precious Metals & Gems,2024,Europe,0
682,7113,Precious Metals & Gems,2024,Asia,1
434,6215,Textiles & Clothing,2024,Africa,1
56,4007,Plastics & Rubber,2024,Europe,1
188,9103,Instruments & Optics,2024,America,1
422,9508,Furniture & Misc,2024,Asia,1
616,3204,Chemicals,2024,Europe,1
116,2809,Chemicals,2024,Asia,0
724,7103,Precious Metals & Gems,2024,Europe,1
458,4103,"Wood, Paper & Leather",2024,Asia,0
233,3808,Chemicals,2024,Europe,0
104,8204,Metals & Metal Products,2024,Asia,0
70,9102,Instruments & Optics,2024,Europe,2
410,3307,Chemicals,2024,Asia,0
68,2847,Chemicals,2024,America,1
862,3804,Chemicals,2024,America,1
56,3919,Plastics & Rubber,2024,Europe,1
156,8435,Machinery & Equipment,2024,Asia,1
579,2835,Chemicals,2024,Europe,1
50,8425,Machinery & Equipment,2024,Asia,0
643,3921,Plastics & Rubber,2024,Asia,0
384,7804,Metals & Metal Products,2024,Africa,1
858,6110,Textiles & Clothing,2024,America,2
